colony,origin,trait,mean_diff_RL,n_pairs,t_stat,t_pvalue,wilcox_stat,wilcox_pvalue,t_pvalue_bonf,t_pvalue_holm,t_pvalue_bh,wilcox_pvalue_bonf,wilcox_pvalue_holm,wilcox_pvalue_bh
COY02,Coyhaique,nerv04,-0.006387114520408153,98,-2.649694922606795,0.0094075004687156,1685.0,0.018879858142778087,1.0,0.2634100131240368,0.012138710282213678,1.0,0.4908763117122303,0.023848241864561796
COY03,Coyhaique,nerv04,0.0037044609797979816,99,1.6616260189488976,0.09978360116142745,2843.0,0.13949569851314939,1.0,1.0,0.10985350586579169,1.0,1.0,0.14945967697837434
COY04,Coyhaique,nerv04,-0.005875318692307698,78,-2.6107013522694884,0.010855405007009624,1073.0,0.020017945582945833,1.0,0.29309593518925986,0.013734938899303129,1.0,0.4908763117122303,0.024764468762407215
COY05,Coyhaique,nerv04,-0.006766411701030923,97,-3.119353691422949,0.002393250556282872,1550.0,0.00295730514484219,0.28719006675394465,0.08137051891361766,0.003301035250045341,0.3548766173810628,0.10350568006947665,0.004126472295128637
COY06,Coyhaique,nerv04,0.010022830328124998,64,4.3963168828331565,4.316808889838215e-05,1589.0,7.06270566650414e-05,0.005180170667805858,0.0021152363560207254,7.194681483063692e-05,0.00847524679980497,0.0033900987199219877,0.00011609927123020506
COY07,Coyhaique,nerv04,-0.007828110782051284,78,-3.677256688258563,0.00043435687005244264,852.0,0.0006108340577032588,0.052122824406293115,0.018677345412255034,0.0006682413385422194,0.07330008692439106,0.026876698538943387,0.0009519491808362475
COY08,Coyhaique,nerv04,0.009128692599999997,100,5.008561993439559,2.394975677153211e-06,3826.5,2.412497771404686e-06,0.00028739708125838533,0.0001293286865662734,4.289508675498288e-06,0.0002894997325685623,0.00013027487965585303,4.320891530874064e-06
COY09,Coyhaique,nerv04,-0.004022994333333338,99,-1.7161621513917038,0.08929193642669837,1695.0,0.009686751153829153,1.0,1.0,0.09921326269633152,1.0,0.29060253461487456,0.012773737785269213
COY10,Coyhaique,nerv04,0.013300232885416666,96,5.892301191565471,5.765228651664917e-08,3733.0,2.859498305374188e-07,6.918274381997901e-06,3.1708757584157047e-06,1.048223391211803e-07,3.431397966449026e-05,1.5727240679558034e-05,5.199087827953068e-07
COY11,Coyhaique,nerv04,0.006810156619999996,100,3.51533827968682,0.0006641561929510583,3433.0,0.001806793308911701,0.07969874315412699,0.02656624771804233,0.0009839351006682344,0.2168151970694041,0.06865814573864464,0.002612231289992821
COY12,Coyhaique,nerv04,0.013725723360000002,100,6.994101947197097,3.183984071841277e-10,4144.0,1.1442610194621547e-09,3.820780886209532e-08,2.1014294874152427e-08,6.946874338562786e-10,1.3731132233545857e-07,8.35310544207373e-08,2.8606525486553865e-09
RPR01,Ribeirão Preto,nerv04,-0.0707983783783784,74,-26.87295800189445,1.3611159015589789e-39,0.0,7.891912333019293e-14,1.6333390818707747e-37,1.5925056048240053e-37,4.083347704676937e-38,9.470294799623153e-12,8.60218444299103e-12,7.047885914740369e-13
RPR02,Ribeirão Preto,nerv04,-0.02145532556410256,78,-9.3462435103507,2.584299176969943e-14,180.0,1.2542294750161977e-11,3.1011590123639315e-12,2.222497292194151e-12,8.860454321039804e-14,1.5050753700194373e-09,1.091179643264092e-09,4.426692264763051e-11
RPR03,Ribeirão Preto,nerv04,-0.043682995337499995,80,-16.645728400541685,1.4956671696862203e-27,25.0,2.046377997252337e-14,1.7948006036234644e-25,1.690103901745429e-25,2.2435007545293305e-26,2.4556535967028044e-12,2.3124071368951405e-12,3.0695669958785055e-13
RPR04,Ribeirão Preto,nerv04,-0.02271255726582278,79,-10.787247591088446,3.9622469233114217e-17,73.0,1.8067297724560177e-13,4.754696307973706e-15,3.764134577145851e-15,1.828729349220656e-16,2.1680757269472212e-11,1.8970662610788185e-11,1.3550473293420132e-12
RPR05,Ribeirão Preto,nerv04,-0.017389639537499994,80,-8.171760578203463,4.032972447500752e-12,337.0,7.688029013514764e-10,4.839566937000902e-10,3.105388784575579e-10,1.0999015765911142e-11,9.225634816217717e-08,5.766021760136073e-08,2.005572786134286e-09
RPR06,Ribeirão Preto,nerv04,-0.023209032087499998,80,-10.004528266465222,1.0810657504162105e-15,132.0,9.715571840600545e-13,1.2972789004994525e-13,9.729591753745895e-14,4.106633763098169e-15,1.1658686208720654e-10,9.521260403788534e-11,4.907543804807321e-12
RPR07,Ribeirão Preto,nerv04,-0.015386904899999993,80,-6.889832542199436,1.2128652297298554e-09,433.0,2.106425408686403e-08,1.4554382756758265e-07,7.277191378379132e-08,2.385964386353814e-09,2.5277104904236834e-06,1.2638552452118417e-06,4.143787689219154e-08
RPR08,Ribeirão Preto,nerv04,-0.07681568806250001,80,-31.953923856564547,6.136907907623873e-47,0.0,7.999532481409323e-15,7.364289489148647e-45,7.302920410072409e-45,3.682144744574324e-45,9.599438977691188e-13,9.519443652877095e-13,2.399859744422797e-13
RPR09,Ribeirão Preto,nerv04,-0.016563868012499997,80,-7.208165762651885,2.9804592504596716e-10,418.0,8.275563211910576e-09,3.576551100551606e-08,1.99690769780798e-08,6.62324277879927e-10,9.93067585429269e-07,5.296360455622769e-07,1.742223834086437e-08
RPR10,Ribeirão Preto,nerv04,-0.019689600594936713,79,-8.667156157112037,4.777048887928414e-13,267.0,1.41491081551949e-10,5.7324586655140965e-11,3.9171800881012994e-11,1.4698611962856657e-12,1.697892978623388e-08,1.117779544260397e-08,4.042602330055686e-10
RPR11,Ribeirão Preto,nerv04,-0.028986058749999998,80,-13.439397977687689,4.1524855470480683e-22,52.0,5.5543924382472435e-14,4.982982656457682e-20,4.609258957223356e-20,4.982982656457682e-21,6.665270925896692e-12,6.109831682071968e-12,6.059337205360629e-13
RPR12,Ribeirão Preto,nerv04,-0.04259783681666665,60,-15.033064919884325,7.686477743290459e-22,6.0,2.2621590436462078e-11,9.223773291948551e-20,8.3782607401866e-20,7.686477743290459e-21,2.7145908523754494e-09,1.9002135966628146e-09,7.33673203344716e-11
COY01,Coyhaique,nerv05,0.004056300050505052,99,2.4234120604616316,0.017210355371418518,3136.5,0.021050078855804774,1.0,0.4130485289140444,0.021291161284229095,1.0,0.4908763117122303,0.025775606762209927
COY02,Coyhaique,nerv05,0.004917925397959184,98,2.855098545202184,0.005261896003993912,3149.0,0.005472211315137362,0.6314275204792694,0.1631187761238113,0.00701586133865855,0.6566653578164834,0.1696385507692582,0.007296281753516483
COY03,Coyhaique,nerv05,0.003934455010101015,99,2.106723081608589,0.03769554838472953,2902.0,0.058882063595119806,1.0,0.7916065160793201,0.04523465806167543,1.0,1.0,0.06794084260975362
COY04,Coyhaique,nerv05,0.003560633769230767,78,1.7739368094621322,0.08002699603722434,1796.0,0.08516561626341622,1.0,1.0,0.08974990209782169,1.0,1.0,0.09376031148266006
COY05,Coyhaique,nerv05,0.005698055680412368,97,3.233561598528691,0.001676635188478069,3224.0,0.0010662526174426384,0.20119622261736828,0.06203550197368855,0.0023951931263972415,0.1279503140931166,0.04265010469770554,0.0015796335073224271
COY06,Coyhaique,nerv05,0.0074351396093749935,64,3.4730503005259,0.0009358211709183203,1428.0,0.0015669281149095714,0.11229854051019843,0.03556120449489617,0.0013529944639782943,0.18803137378914858,0.06111019648147328,0.002293065534014007
COY07,Coyhaique,nerv05,0.0028460976794871706,78,1.5389981757769586,0.12790430481670262,1869.0,0.10232463825602972,1.0,1.0,0.13704032658932422,1.0,1.0,0.11062123054705915
COY08,Coyhaique,nerv05,0.00399786387,100,2.5120259326766923,0.01362059936217622,3080.0,0.05657873917776339,1.0,0.3405149840544055,0.017025749202720274,1.0,1.0,0.06591697768283114
COY09,Coyhaique,nerv05,0.006627637020202017,99,3.6908864056067294,0.0003673950768843772,3390.0,0.0006354632973596151,0.044087409226125265,0.016412366596555636,0.000572563756183445,0.0762555956831538,0.026876698538943387,0.0009652607048500482
